Sample1,Sample2,Distance
662,5728,0
662,5730,0.422743789
662,5900,0.115293761
662,6099,0.076862507
662,6286,0.269018775
662,6330,0.610225014
662,6373,0.840812536
662,6380,0.725518775
662,6441,0.384312536
662,6491,0.192156268
662,6601,0.494931254
662,6697,0.571793761
662,6729,0.230587521
662,6751,0.571793761
662,6764,0.763950028
662,6959,0.345881282
666,1068,0.787098144
672,1557,0.989862507
672,3666,0.494931254
672,5333,0.917675043
672,6625,0.879243789
684,2073,0.648656268
684,2265,0.153725014
684,3720,0.687087521
684,4056,0.917675043
684,4639,0.763950028
684,4782,0
684,6032,0.269018775
685,5367,0.691762564
690,759,0.725518775
690,884,0.307450028
690,1072,0.956106296
690,1170,0.917675043
690,1335,0.687087521
690,1389,0.989862507
690,1454,0.989862507
690,1928,0.648656268
690,1935,0.917675043
690,2029,0.192156268
690,2079,0.687087521
690,2117,0.4565
690,2709,0
690,2824,0.913
690,2833,0.951431254
690,2888,0.4565
690,2973,0.730193818
690,3138,0.956106296
690,3237,0.725518775
690,3308,0.571793761
690,3569,0.533362507
690,3670,0.951431254
690,3674,0.269018775
690,3749,0.763950028
690,3797,0.802381282
690,4004,0.951431254
690,4059,0.99453755
690,4086,0.610225014
690,4092,0.192156268
690,4125,0.610225014
690,4150,0.53803755
690,4380,0.610225014
690,4484,0.99453755
690,4557,0.802381282
690,4714,0.610225014
690,5211,0.571793761
690,5279,0.989862507
690,5498,0.648656268
690,5577,0.883918832
690,5607,0.648656268
690,5728,0.763950028
690,5730,0.571793761
690,5900,0.648656268
690,6099,0.840812536
690,6330,0.153725014
690,6352,0.571793761
690,6380,0.951431254
690,6491,0.571793761
690,6601,0.269018775
690,6729,0.533362507
690,6751,0.422743789
690,6779,0.648656268
690,6959,0.494931254
695,2079,0.840812536
695,3569,0.687087521
695,4015,0.571793761
695,4086,0.763950028
695,4125,0.763950028
695,4802,0.725518775
695,5532,0.989862507
695,5672,0.610225014
695,6352,0.725518775
695,6779,0.802381282
710,759,0.960781339
710,771,0.725518775
710,884,0.840812536
710,985,0.610225014
710,1047,0.533362507
710,1249,0.533362507
710,1316,0.989862507
710,1335,0.461175043
710,1369,0.687087521
710,1487,0.4565
710,1567,0.840812536
710,1729,0.384312536
710,1732,0.494931254
710,1812,0.269018775
710,1833,0.840812536
710,1928,0.499606296
710,2029,0.956106296
710,2117,0.691762564
710,2130,0.917675043
710,2522,0.115293761
710,2613,0.951431254
710,2664,0.610225014
710,2755,0.533362507
710,2888,0.691762564
710,2954,0.913
710,2973,0.494931254
710,3106,0.802381282
710,3138,0.192156268
710,3237,0.422743789
710,3308,0.576468803
710,3309,0.725518775
710,3452,0.951431254
710,3513,0.076862507
710,3674,0.879243789
710,3749,0.384312536
710,3797,0.345881282
710,3846,0.989862507
710,4059,0.153725014
710,4092,0.956106296
710,4150,0.610225014
710,4166,0.494931254
710,4215,0.648656268
710,4236,0.610225014
710,4557,0.345881282
710,4714,0.53803755
710,4777,0.913
710,4810,0.725518775
710,4932,0.499606296
710,5163,0.533362507
710,5211,0.807056325
710,5328,0.345881282
710,5438,0.076862507
710,5498,0.499606296
710,5577,0.648656268
710,5621,0.840812536
710,5630,0.763950028
710,5638,0.687087521
710,5697,0.076862507
710,5728,0.384312536
710,5730,0.807056325
710,5900,0.499606296
710,6099,0.307450028
710,6286,0.115293761
710,6330,0.99453755
710,6373,0.4565
710,6441,0
710,6481,0.99453755
